V1,mean_estimates,combined_se,t_stats,p_values
(Intercept),-8.78092794067429,0.279709575476842,-31.3930187256006,0
factor(wave)2,-0.278486726514152,0.214550847946482,-1.29799872235237,0.194287774007871
factor(wave)3,-0.241671642458435,0.208602650960304,-1.15852622843429,0.246649354527717
factor(wave)4,-0.533105085919645,0.212574198842151,-2.50785414609752,0.0121466793663763
hsize,-0.17265932093407,0.0224666195928198,-7.68514908176266,1.53210777398272e-14
head_gendrfemale,0.227538361908027,0.0559363204123723,4.06781068598319,4.7456911649979e-05
age0-29,-0.277792906167275,0.115203728916935,-2.4113187027789,0.0158949521373095
age50-69,0.0626631374376044,0.0651565895147847,0.961731390550844,0.336184549882001
age+70,-0.256295610686731,0.102374943051088,-2.50349942132649,0.0122971881483966
edu_refprimary,-0.0560700201523668,0.0895662376707905,-0.62601736558878,0.531303551099418
edu_reftertiary,-0.154743914506849,0.0564281529102534,-2.74231755827562,0.00610073297913982
homeownhomeowner,-0.0930905641763489,0.057272869588525,-1.62538676418966,0.104080174350309
otherpmultiowner,0.59076545762431,0.0562051082128827,10.5108855121624,0
bondshas-bonds,0.0513942355249001,0.120383869867467,0.426919616236636,0.669437877250187
mutualhas-mutual,0.156247945031284,0.0819012142256704,1.90776103270897,0.0564221093289972
shareshas-shares,0.304466126844302,0.0852961054888896,3.56951967618217,0.000357636356627999
managedhas-managed,0.373111102351221,0.13953827545323,2.67389790463821,0.00749752729270781
otherfinhas-otherfin,-0.0372896805179233,0.125258265731581,-0.29770235361419,0.765930346913992
hasKgainshas-Kgains,9.09630946715932,0.205656948958994,44.2304989605435,0
haspvpenshas-pvpens,0.0136669460293058,0.0664761488733942,0.205591723662195,0.837109842986951
class_nomanager2,1.71166038591999,1.02835621656463,1.66446252606713,0.0960200338498041
class_nomanager3,0.330336810672203,0.607142620930501,0.544084370433313,0.586383415299954
class_nomanager4,0.381889825736229,0.0755841789300895,5.05251007739929,4.36041343032656e-07
random_part,0.219679734085777,0.160165471549933,0.46857708198444,0.399939874261779
eval,10477.8617047955,10733.6621093593,-5213.93085239776,10427.8617047955
