V1,mean_estimates,combined_se,t_stats,p_values
(Intercept),-2.72837241188661,0.166249917676667,-16.4112707543887,0
factor(wave)2,-0.230323093109716,0.112712843615903,-2.04345029120727,0.0410078833732463
factor(wave)3,-0.212215008539411,0.111910482909066,-1.89629249220423,0.0579213784983699
factor(wave)4,-0.220267524319947,0.111025027030687,-1.98394479344794,0.0472619946379826
random_part,0.093352588052833,0.455651770033328,0.305485788471671,0.675010035427662
eval,149543.553064655,149607.636555064,-74765.7765323274,149531.553064655
