Estimate,Std. Error,t-value,Pr(>|t|),r_squared
-0.0109864414235038,0.00572661249840128,-1.91848870978626,0.0618632193339437,0.185389877230079
-0.0164451544718697,0.00572661249840128,-2.87170722245669,0.00637260179265042,0.185389877230079
-0.0138222474923324,0.00572661249840128,-2.41368653740604,0.0202311969622104,0.185389877230079
-0.0160489084603472,0.00866189117463429,-1.85281806672257,0.0709436192854145,0.245400303967141
-0.0280447548628848,0.00866189117463429,-3.23771729492652,0.00235545971548625,0.245400303967141
-0.027155870727769,0.00866189117463429,-3.13509719532069,0.00313193310096985,0.245400303967141
-0.0140783577547965,0.0237900414799209,-0.59177525044161,0.557173294264448,0.0210905155397891
-0.0138684484372456,0.0237900414799209,-0.582951839279086,0.56304285392053,0.0210905155397891
0.00363943516663755,0.0237900414799209,0.152981455274438,0.879145523414727,0.0210905155397891
-0.0195470918177069,0.0267940766978132,-0.729530337550396,0.46972657243529,0.0299236599487074
-0.02427220888423,0.0267940766978132,-0.905879652356558,0.370167286196627,0.0299236599487074
-0.00124623165121861,0.0267940766978132,-0.0465114609200293,0.963123056993001,0.0299236599487074
0.0119993647462607,0.0228275992728409,0.525651629102188,0.601894757704154,0.0106194178510826
-0.00224962893504651,0.0228275992728409,-0.0985486431647242,0.921965492820109,0.0106194178510826
0.00289081909187092,0.0228275992728409,0.126637017643387,0.899832023778469,0.0106194178510826
0.0140678391114944,0.0252151561131739,0.557912037044441,0.57986637599545,0.0164429053953356
-0.00398703200723106,0.0252151561131739,-0.158120456971829,0.875119689643292,0.0164429053953356
0.0109574430550964,0.0252151561131739,0.434557811417696,0.666108001952293,0.0164429053953356
-0.0148493286903595,0.0064811544627289,-2.29115488232125,0.0270378411065639,0.113967282126433
-0.00528550359894301,0.0064811544627289,-0.815518844572877,0.419376308258571,0.113967282126433
-0.00717507709745536,0.0064811544627289,-1.10706775138858,0.274565028757484,0.113967282126433
-0.0302568444132386,0.00888779192094198,-3.40431511925313,0.0014699048045291,0.226742127943224
-0.0213958028462083,0.00888779192094198,-2.40732490550258,0.0205423889556541,0.226742127943224
-0.019042886450493,0.00888779192094198,-2.14258914023661,0.0379870874071806,0.226742127943224
