Estimate,Std. Error,t-value,Pr(>|t|),r_squared
-0.0109864414235038,0.00572661249840128,-1.91848870978626,0.0618632193339437,0.185389877230079
-0.0164451544718697,0.00572661249840128,-2.87170722245669,0.00637260179265042,0.185389877230079
-0.0138222474923324,0.00572661249840128,-2.41368653740604,0.0202311969622104,0.185389877230079
-0.00393601378578471,0.00580877162425906,-0.67759830139419,0.50174225678341,0.0539556680525294
-0.00884213737999623,0.00580877162425906,-1.52220434059914,0.135452132778131,0.0539556680525294
-0.00550503930642119,0.00580877162425906,-0.947711437549137,0.348697613962361,0.0539556680525294
-0.0140783577547965,0.0237900414799209,-0.59177525044161,0.557173294264448,0.0210905155397891
-0.0138684484372456,0.0237900414799209,-0.582951839279086,0.56304285392053,0.0210905155397891
0.00363943516663755,0.0237900414799209,0.152981455274438,0.879145523414727,0.0210905155397891
-0.0209177614402258,0.0153762466039834,-1.36039450842359,0.180961976578555,0.0448115559037619
-0.0122217489059681,0.0153762466039834,-0.794846051883813,0.431171919812414,0.0448115559037619
-0.0070332897170429,0.0153762466039834,-0.457412650706372,0.649731896798795,0.0448115559037619
0.0119993647462607,0.0228275992728409,0.525651629102188,0.601894757704154,0.0106194178510826
-0.00224962893504651,0.0228275992728409,-0.0985486431647242,0.921965492820109,0.0106194178510826
0.00289081909187092,0.0228275992728409,0.126637017643387,0.899832023778469,0.0106194178510826
-0.00422385018104877,0.0121952651983241,-0.346351646508617,0.730807649497497,0.00985588298571177
-0.00586458033148522,0.0121952651983241,-0.480889938522301,0.633090475187837,0.00985588298571177
-0.00749071572442781,0.0121952651983241,-0.614231474478901,0.542375510732849,0.00985588298571177
