wave,country,implicate,p80
4,IT,3,95104.8100000001
4,IT,4,95104.8100000001
4,IT,5,95104.8100000001
4,CY,1,55000
4,CY,2,57391
4,CY,3,53000
4,CY,4,55000
4,CY,5,53000
4,AT,1,83240
4,AT,2,82400
4,AT,3,84302
4,AT,4,82400
4,AT,5,83530
4,HU,1,34870.527
4,HU,2,34331.202
4,HU,3,35339.832
4,HU,4,35391.804
4,HU,5,34011.75
4,SK,1,32000
4,SK,2,31750
4,SK,3,31988
4,SK,4,32564
4,SK,5,33037
4,FI,1,71448
4,FI,2,71448
4,FI,3,71448
4,FI,4,71448
4,FI,5,71448
4,GR,1,30000
4,GR,2,29746
4,GR,3,30000
4,GR,4,29888
4,GR,5,30408
4,NL,1,88000
4,NL,2,92500
4,NL,3,88503.17
4,NL,4,88500
4,NL,5,91000
4,LU,1,344000
4,LU,2,334210
4,LU,3,339500
4,LU,4,348200
4,LU,5,338500
4,LV,1,16058
4,LV,2,15650
4,LV,3,15704
4,LV,4,15402
4,LV,5,15562.52
4,MT,1,85000
4,MT,2,85000
4,MT,3,85000
4,MT,4,85000
4,MT,5,85000
4,EE,1,36052
4,EE,2,35870
4,EE,3,35870
4,EE,4,35826
4,EE,5,36273
4,FR,1,104335
4,FR,2,104335
4,FR,3,104335
4,FR,4,104335
4,FR,5,104335
4,BE,1,160300
4,BE,2,156500
4,BE,3,160300
4,BE,4,159165
4,BE,5,156500
4,CZ,1,30999.95
4,CZ,2,30999.95
4,CZ,3,30999.95
4,CZ,4,30999.95
4,CZ,5,30999.95
