2011,2013,2017,2020
190937.354187463,232396.991617416,233948.194096433,278187.150154055
270343.587384389,271912.265251177,291552.269707194,316006.821229001
513640.381468127,345313.038407176,367430.417777554,346852.369686664
192498.334258825,212609.987787896,217588.429021626,216991.341085656
210835.938247616,210083.562178051,219929.155073337,238505.531899388
166677.710971782,170062.968716905,207188.052961046,276325.47621604
156275.013827448,101266.916465731,94786.500214579,122587.932582131
245313.348616189,214413.016492223,193775.325547338,233628.518456525
625966.699176097,701716.054636159,797059.33277695,1065189.79038647
252351.756295224,257062.70576304,282253.484685899,386027.558573274
220600.25943952,202990.92243207,217143.661745459,302855.690455259
141906.165756938,127251.288658571,133489.484470769,159078.516742302
161634.487941126,115637.464343026,128262.626488578,167093.248185748
71318.0425939662,65328.4472920335,93137.4124028351,124803.712674155
235660.917380455,199767.526690671,215022.204555025,230305.746791875
