2011,2013,2017,2020
79516.481637063,66239.4498927918,86039.3356494025,75980.0249508191
70433.4974165818,72165.2315133229,82491.9777009669,88258.3434314829
60473.0293521015,50268.902465106,49142.5959818368,55046.7038553429
83250.0540249506,89170.7217331108,90779.4837844565,106811.660928667
66897.1625777722,72972.9596287255,75081.7462063439,76631.115530054
83497.8106460041,93823.4470869595,92820.5938515506,104247.580293948
51882.8911030186,37666.6246505302,42197.3594347107,67662.5188151174
58210.0163570475,62536.3132845233,68472.19486032,114478.109099136
105108.803685302,105847.844099061,112511.22548232,135497.821805873
35717.5937317587,39133.4967825519,44682.4921721148,49452.5072094697
58059.488614285,69989.1155450619,88576.4747251463,88617.3758514287
46861.2464041653,48617.7212565794,59659.8136014231,61621.5633895709
44533.5007580473,37601.8030351858,43021.2874607065,52942.8453035871
29464.1435182187,42230.0602316785,57693.8678855941,47996.2992399469
54885.2777229795,55688.6470567635,62588.5447108799,71307.0954993419
