2011,2013,2017,2020
88815.6397995925,63198.2592282068,88513.7061852164,67277.9659932116
62947.1678703201,54204.7536065187,64812.1457506304,65390.0593774191
60362.2108184493,43703.9388399028,51391.2230440584,49598.0870896273
38738.085736783,42729.9787590433,46393.8203424643,48236.7902206048
51937.2071816337,55381.8188940968,57875.3864828436,56177.8496837219
58580.9059386677,57752.1421188161,61318.8571837948,72986.3409783923
35510.388178583,19121.8134283845,28344.2862243117,36107.1406406896
51606.6989645629,42651.7016402161,49107.0209187562,70157.8989756091
128001.429174347,126291.963540024,160850.279056947,165909.287875977
23833.0207029273,34498.8792233151,44589.6462971625,42426.145013899
46136.0269889674,49371.9767329252,64102.0457876367,60202.855934616
33191.2693057989,25395.928678188,36434.0262829446,45001.4594858209
23729.9298710625,20356.9275444341,18248.2083506285,32084.6827592534
16416.0278790394,40237.7853175495,64583.6732307786,31050.1794539408
47295.2929276138,45132.1022472169,45909.421257306,48515.3680861743
