2011,2013,2017,2020
94744.8761489117,84709.9571341144,96046.7064852811,95566.3970289333
105273.152187035,93639.9764071861,103845.61785855,109330.738984174
93960.0046951118,91811.2028378117,93051.144377413,100147.285593853
84232.6032177977,91776.7193492617,97695.305600322,107886.483511828
89238.3748885984,95205.3149020526,97365.1519390359,109445.576623604
93003.9280673063,104023.793458202,109678.701512345,122720.779768818
78455.830066475,75785.399451709,81422.0425830732,115286.988135106
84010.8886681893,87552.8868049347,97033.7754770975,149685.467580724
118633.23419253,124550.456927579,132815.719497394,156576.666533159
71083.0809276801,77101.1723463176,92016.365184369,95270.6424731654
77397.0113998407,84999.3103321512,101343.854885576,114253.747837084
82690.2700705563,88546.4873825541,102648.07896538,111635.224365642
72301.7635028245,83535.5834059418,90161.0872041471,89758.4453195321
90092.7147565285,95869.3727670676,106127.792310739,83534.0829459932
89502.9104792861,89402.7692570713,100354.691849261,109166.348534906
