"",V1,V2,V3,V4,r_squared
model,-0.00493828439643141,0.00236781103072068,-2.08559058656314,0.0428479250406031,0.0899631055785882
model20,-0.00329113337715398,0.00195594178561031,-1.68263360462287,0.0995303077483162,0.060456543310123
modelE,-0.00195792880241908,0.00146845201192811,-1.33332842102772,0.189286252737185,0.0388346764157795
w_model,0.00235027202445064,0.00744624625049252,0.315631788875527,0.753774290917239,0.00225905389681161
w_model20,-0.000131043446015862,0.00504976196561965,-0.0259504204174467,0.9794142241185,1.53048639357878e-05
w_modelE,-0.000763114345632892,0.00306390431407039,-0.249065984903131,0.804468738234653,0.00140787565608208
i_model,0.000835351389321137,0.00620863197098747,0.134546771853233,0.893583815184982,0.000411258837857487
i_model20,-0.00257854777613618,0.00362614500308412,-0.711098914671936,0.480775810121223,0.0113617379792563
i_modelE,-0.000821693957916403,0.00231617282174394,-0.354763664525566,0.724461467546004,0.00285223371259807
