class,rentsbi,year
1,0.151127066455469,2004
2,0.0867134886691339,2004
3,0.0441984632398338,2004
4,0.27075194590401,2004
1,0.0622396666701758,2022
2,0.0920691664807532,2022
3,0.0942656166353736,2022
4,0.174455288364372,2022
