2011,2013,2017,2020
43929.0378655194,43333.9549304328,50434.7464088667,50892.022222842
49486.1604336036,51956.4776308806,56393.6776097467,59636.4908052952
43254.9848594883,32960.982618455,33116.4241801076,34976.1793478476
45141.0952938308,50013.9782617606,51345.5983382995,53563.5652622867
36917.9100966932,40321.132074336,41429.1094322598,40660.7507205575
43531.0998262088,48389.6511519342,53050.6495737183,61145.4105244975
27660.821122131,21213.4534921317,22457.8993944442,23931.1427251381
34343.6142451864,33373.9070501194,33830.2561601097,46293.3501679692
83657.4942081849,87199.0092036835,93111.1191024465,116409.703827078
25298.5074413356,27681.7913695273,31203.297689704,36808.4576558873
45792.4347209327,50259.1295081588,54754.4488461502,57479.4068699208
21593.6497533949,21545.593668897,24588.8522692285,28339.7191282202
22333.8429843344,19840.9431522847,22320.4856264135,31192.1037676432
13467.3419374394,15424.7735841913,20278.2296238066,23611.9818592822
31855.510439456,29586.5438285922,32669.8693763756,36123.5525044145
