V1,mean_estimates,combined_se,t_stats,p_values
(Intercept),-2.37024814880058,0.27009695209298,-8.77554570843373,0
factor(wave)2,0.552108919145567,0.287233593496182,1.92215998283956,0.0545856304045431
factor(wave)3,0.574868079993836,0.286377987792759,2.00737523307778,0.0447097239153875
factor(wave)4,0.613221103060518,0.287003875328236,2.13663004500967,0.0326280938965005
hsize,0.062314991092976,0.0046471049739536,13.4094218749615,0
head_gendrfemale,-0.190370090955009,0.0112391655983295,-16.9380982324261,0
tenuremortaged,0.25557373812968,0.0284364926171854,8.98752675198858,0
tenurerented,-0.58940108696736,0.0153613627719991,-38.3690624142884,0
tenurefree-use,-0.218552356627605,0.0232727498399045,-9.39091246763049,0
class_nomanagerEmployer,0.318183693966597,0.177802295708441,1.78953647757368,0.0735284582828293
class_nomanagerSelf-Employed,0.530324695314656,0.16532865853159,3.20769974198591,0.00133801110990661
class_nomanagerInactive,-0.0541550219009441,0.0161060535024295,-3.36240171391305,0.00077267627135158
quintile.gincometop-income,0.337477321330387,0.0162748105187522,20.7361751426561,0
quintile.gwealthtop-wealth,1.87301801831392,0.0247102529805264,75.7992247100828,0
age0-29,-0.628976104222401,0.0323220187121902,-19.4596788592658,0
age50-69,0.49424127592609,0.0159774504475177,30.9336760298247,0
age+70,0.486779180294532,0.0223564236053304,21.7735711618235,0
quintile.gwealthtop-wealth:age0-29,0.64035121677848,0.093492292360173,6.84924073004402,7.42428341027335e-12
quintile.gwealthtop-wealth:age50-69,0.0296496872379277,0.0298974208792661,0.99171387918915,0.321337118645684
quintile.gwealthtop-wealth:age+70,0.0336017571837263,0.036695439825658,0.915692994643751,0.359827940326005
random_part,0.671218511956925,0.5673157005384,0.819279097567531,0.753202861237103
eval,233689.706734252,233921.497973662,-116822.853367126,233645.706734252
