V1,mean_estimates,combined_se,t_stats,p_values
(Intercept),-3.88602766747903,0.189295091482893,-20.5289404867121,0
factor(wave)2,-0.192345951732131,0.10700576386179,-1.79752888807531,0.0722516962521587
factor(wave)3,-0.156943577085204,0.106899573772436,-1.46814034468743,0.14206610458396
factor(wave)4,-0.126733578966081,0.106090856102554,-1.19457589109821,0.232252773348603
hsize,-0.104660895574457,0.00788081214457256,-13.2804708010374,0
head_gendrfemale,0.0165241805741926,0.0204234829690004,0.809077501583526,0.41847056850918
age0-29,-0.161219481628192,0.0490214717097019,-3.28875237738498,0.00100632517365118
age50-69,0.262789027474459,0.025462411204023,10.320665445578,0
age+70,0.626087282323152,0.0343364149461806,18.2339153142368,0
edu_refprimary,-0.351557328716275,0.0250647764718444,-14.0259510836326,0
edu_reftertiary,0.148232104222204,0.0198086436882969,7.48320311853462,7.26085858104852e-14
homeownhomeowner,0.33408057656877,0.0204810686588862,16.3116769995212,0
otherpmultiowner,1.78964958884604,0.0177419225876863,100.871231964913,0
bondshas-bonds,0.569592131025056,0.037255371664624,15.2888591785521,0
mutualhas-mutual,0.380876855410896,0.0246746897313212,15.4359329158017,0
shareshas-shares,0.505996828593624,0.0238690886759955,21.1988331629306,0
managedhas-managed,0.430271599310856,0.0423240146882228,10.1661338717611,0
otherfinhas-otherfin,0.289671170045618,0.036179959836404,8.00639833088352,1.11022302462516e-15
haspvpenshas-pvpens,0.524390612835282,0.0193769898254841,27.0625426115267,0
class_nomanagerEmployer,0.559306985258488,0.216518099273122,2.58318813593944,0.00978919251084909
class_nomanagerSelf-Employed,0.17674452554119,0.184865414772239,0.95607134389602,0.339036191283767
class_nomanagerInactive,0.568370481375975,0.0242524210112966,23.4356182878086,0
random_part,0.0735860661766952,0.565872797614991,0.271238516010323,0.752224738420062
eval,116940.921328003,117190.971861956,-58446.4606640013,116892.921328003
